Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-28T17:20:53Z, Acceleration (via User), z, 0.000715911271981895
2016-11-28T17:20:53Z, Attitude, Roll, 0.112621385903546
2016-11-28T17:20:53Z, Attitude, Yaw, -1.17064672191552
2016-11-28T17:20:53Z, Attitude, Pitch, 0.00944675604974352
2016-11-28T17:20:53Z, Magnetometer (corrected for device), x, -27.443977355957
2016-11-28T17:20:53Z, Magnetometer (corrected for device), y, -27.5417442321777
2016-11-28T17:20:53Z, Magnetometer (corrected for device), z, -27.681640625
2016-11-28T17:20:53Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:20:54Z, GPS, Latitude, 42.3387740233944
2016-11-28T17:20:54Z, GPS, Longitude, -71.0882193550672
2016-11-28T17:20:54Z, GPS, Altitude, 8.25180530548096
2016-11-28T17:20:54Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:21:02Z, Acceleration (via User), x, -0.000128803090774454
2016-11-28T17:21:02Z, Acceleration (via User), y, 0.000288441544398665
2016-11-28T17:21:02Z, Acceleration (via User), z, 0.00162551063112915
2016-11-28T17:21:02Z, Attitude, Roll, 0.112538567768752
2016-11-28T17:21:02Z, Attitude, Yaw, -1.17046595180555
2016-11-28T17:21:02Z, Attitude, Pitch, 0.0094438553449619
2016-11-28T17:21:02Z, Magnetometer (corrected for device), x, -27.7436752319336
2016-11-28T17:21:02Z, Magnetometer (corrected for device), y, -27.6184349060059
2016-11-28T17:21:02Z, Magnetometer (corrected for device), z, -27.3071899414062
2016-11-28T17:21:02Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:21:03Z, GPS, Latitude, 42.3387741688349
2016-11-28T17:21:03Z, GPS, Longitude, -71.0882190949316
2016-11-28T17:21:03Z, GPS, Altitude, 8.25180530548096
2016-11-28T17:21:03Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:21:05Z, GPS, Latitude, 42.3387883173657
2016-11-28T17:21:05Z, GPS, Longitude, -71.0882252046076
2016-11-28T17:21:05Z, GPS, Altitude, 8.45858955383301
2016-11-28T17:21:05Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:21:11Z, Acceleration (via User), x, -9.65079307206906e-05
2016-11-28T17:21:11Z, Acceleration (via User), y, -4.25338075729087e-05
2016-11-28T17:21:11Z, Acceleration (via User), z, 0.00369668402709067
2016-11-28T17:21:11Z, Attitude, Roll, 0.112567578932971
2016-11-28T17:21:11Z, Attitude, Yaw, -1.17033751219284
2016-11-28T17:21:11Z, Attitude, Pitch, 0.009524870956789
2016-11-28T17:21:11Z, Magnetometer (corrected for device), x, -27.5180740356445
2016-11-28T17:21:11Z, Magnetometer (corrected for device), y, -27.767635345459
2016-11-28T17:21:11Z, Magnetometer (corrected for device), z, -26.6339721679688
2016-11-28T17:21:11Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:21:14Z, GPS, Latitude, 42.3387884475627
2016-11-28T17:21:14Z, GPS, Longitude, -71.0882249699619
2016-11-28T17:21:14Z, GPS, Altitude, 8.45858955383301
2016-11-28T17:21:14Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:21:17Z, GPS, Latitude, 42.3387623700935
2016-11-28T17:21:17Z, GPS, Longitude, -71.0881775784095
2016-11-28T17:21:17Z, GPS, Altitude, 8.61780548095703
2016-11-28T17:21:17Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:21:20Z, Acceleration (via User), x, 0.000548582407645881
2016-11-28T17:21:20Z, Acceleration (via User), y, 0.000715692760422826
2016-11-28T17:21:20Z, Acceleration (via User), z, 0.00151545507833362
2016-11-28T17:21:20Z, Magnetometer (corrected for device), x, -27.6689834594727
2016-11-28T17:21:20Z, Magnetometer (corrected for device), y, -27.5427665710449
2016-11-28T17:21:20Z, Magnetometer (corrected for device), z, -27.9064331054688
2016-11-28T17:21:20Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:21:20Z, Attitude, Roll, 0.112425116654584
2016-11-28T17:21:20Z, Attitude, Yaw, -1.16960737598133
2016-11-28T17:21:20Z, Attitude, Pitch, 0.00952015783521792
2016-11-28T17:21:26Z, GPS, Latitude, 42.3387624893405
2016-11-28T17:21:26Z, GPS, Longitude, -71.0881773684276
2016-11-28T17:21:26Z, GPS, Altitude, 8.61780548095703
2016-11-28T17:21:26Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:21:29Z, GPS, Latitude, 42.3387876037384
2016-11-28T17:21:29Z, GPS, Longitude, -71.0882213967135
2016-11-28T17:21:29Z, GPS, Altitude, 8.7835521697998
