Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-19T19:49:53Z, Acceleration (via User), z, 0.00449260883033276
2016-11-19T19:49:53Z, Attitude, Roll, -0.0329489565820767
2016-11-19T19:49:53Z, Attitude, Yaw, 0.260729795501789
2016-11-19T19:49:53Z, Attitude, Pitch, 0.000218918740114861
2016-11-19T19:49:53Z, Magnetometer (corrected for device), x, -14.535099029541
2016-11-19T19:49:53Z, Magnetometer (corrected for device), y, 7.80034637451172
2016-11-19T19:49:53Z, Magnetometer (corrected for device), z, -53.3737487792969
2016-11-19T19:49:53Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:49:58Z, GPS, Latitude, 42.3388267891818
2016-11-19T19:49:58Z, GPS, Longitude, -71.0882265349866
2016-11-19T19:49:58Z, GPS, Altitude, 9.97044563293457
2016-11-19T19:49:58Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:50:02Z, Attitude, Roll, -0.0330408367296074
2016-11-19T19:50:02Z, Attitude, Yaw, 0.260069526166838
2016-11-19T19:50:02Z, Attitude, Pitch, 0.00042108225188937
2016-11-19T19:50:02Z, Acceleration (via User), x, -0.000488737190607935
2016-11-19T19:50:02Z, Acceleration (via User), y, 0.000131165244965814
2016-11-19T19:50:02Z, Acceleration (via User), z, 0.00511512346565723
2016-11-19T19:50:02Z, Magnetometer (corrected for device), x, -14.3098030090332
2016-11-19T19:50:02Z, Magnetometer (corrected for device), y, 7.72658538818359
2016-11-19T19:50:02Z, Magnetometer (corrected for device), z, -53.5997314453125
